year,weight,gender,race1r,hispanic,ethnic1r,ager,marital2,hincome,popsize,region,msa,direl,notify,weapon,weapcat,newcrime,newoff,seriousviolent,injury,treatment,vicservices,locationr
2013,1995.63897,2,1,1,4,3,1,88,0,3,2,4,1,2,0,1,4,2,1,1,2,3
2013,4102.44284,1,1,2,1,2,1,88,1,3,2,3,2,2,0,1,4,2,0,0,2,1
2013,3398.26431,2,1,2,1,3,1,1,1,4,3,1,2,1,4,1,3,1,0,0,2,1
2013,3284.95098,1,1,2,1,7,1,6,0,2,2,3,1,1,3,1,3,1,0,0,2,1
2013,4148.5897,2,1,2,1,1,1,7,0,3,2,4,1,2,0,1,4,2,0,0,2,2
2013,3487.20545,2,3,2,3,4,1,5,4,3,1,4,2,2,0,1,4,2,0,0,2,3
2013,3487.20545,2,3,2,3,4,1,5,4,3,1,4,2,1,3,1,3,1,0,0,2,3
2013,3018.99173,2,1,1,4,5,1,88,2,2,1,4,1,2,0,1,4,2,0,0,2,1
2013,2320.17721,1,1,2,1,4,1,2,1,4,3,1,1,1,3,1,3,1,0,0,2,1
2013,2850.59076,2,1,2,1,7,1,5,1,2,2,3,2,2,0,1,4,2,1,2,2,3
2013,2937.45251,1,1,1,4,7,4,7,4,4,1,4,2,2,0,1,4,2,0,0,2,3
2013,4144.55857,2,1,2,1,2,1,2,1,4,3,1,1,2,0,1,4,2,0,0,2,4
2013,4683.50139,2,3,2,3,5,5,7,2,4,1,1,2,2,0,1,4,2,0,0,2,3
2013,1960.06675,2,1,1,4,5,2,2,1,4,2,1,1,3,5,1,4,2,0,0,2,1
2013,1960.06675,2,1,1,4,5,2,2,1,4,2,1,1,2,0,1,4,2,1,2,2,1
2013,1431.46152,2,2,2,2,7,3,5,5,4,1,4,2,2,0,1,4,2,0,0,2,1
2013,1431.46152,2,2,2,2,7,3,5,5,4,1,4,2,2,0,1,4,2,0,0,2,1
2013,2506.12966,2,1,2,1,5,1,88,4,4,1,4,2,1,2,1,3,1,0,0,2,3
2013,3208.45355,2,1,1,4,7,4,4,5,4,1,4,1,1,3,1,3,1,1,1,2,1
2013,2937.10368,1,1,2,1,5,2,88,0,3,3,3,1,2,0,1,4,2,0,0,2,2
2013,2774.54927,2,1,2,1,5,1,7,3,2,1,3,2,2,0,1,4,2,1,1,2,4
2013,2774.54927,2,1,2,1,5,1,7,3,2,1,3,1,2,0,1,4,2,0,0,2,3
2013,3475.72283,2,1,2,1,5,1,3,1,2,1,4,2,2,0,1,1,1,0,0,2,3
2013,2362.94547,2,1,2,1,8,4,4,1,4,3,2,1,1,4,1,3,1,1,1,2,1
2013,4389.70485,1,1,2,1,1,1,3,1,1,2,3,2,2,0,1,4,2,1,1,2,3
2013,14560.8378,2,1,2,1,3,1,3,1,1,2,3,2,1,4,1,3,1,1,2,2,4
2013,3131.92376,1,3,2,3,7,1,4,5,1,1,4,1,1,2,1,3,1,0,0,2,3
2013,1804.16026,1,1,2,1,5,1,6,1,2,2,4,2,2,0,1,4,2,0,0,2,3
2013,4650.16748,2,1,2,1,4,1,1,5,1,1,4,2,2,0,1,1,1,0,0,2,4
2013,4201.07277,2,1,2,1,2,1,5,1,1,2,3,1,2,0,1,4,2,0,0,2,1
2013,4201.07277,2,1,2,1,2,1,5,1,1,2,3,1,2,0,1,4,2,0,0,2,1
2013,4201.07277,2,1,2,1,2,1,5,1,1,2,3,1,2,0,1,4,2,0,0,2,1
2013,4201.07277,2,1,2,1,2,1,5,1,1,2,3,1,2,0,1,4,2,0,0,2,1
2013,4201.07277,2,1,2,1,2,1,5,1,1,2,3,1,2,0,1,4,2,0,0,2,1
2013,2801.81234,1,1,2,1,5,1,4,1,2,3,4,1,1,1,1,3,1,0,0,2,3
2013,2831.95676,1,2,2,2,5,2,4,4,4,1,4,2,2,0,1,4,2,0,0,2,3
2013,2831.95676,1,2,2,2,5,2,4,4,4,1,4,2,2,0,1,4,2,0,0,2,3
2013,5515.25674,1,3,2,3,5,1,6,5,4,1,4,1,2,0,1,4,2,0,0,1,3
2013,3396.4216,2,1,2,1,8,3,88,1,4,2,3,1,2,0,1,4,2,0,0,2,1
2013,4488.79197,2,1,2,1,4,1,5,0,4,2,3,2,2,0,1,4,2,0,0,1,3
2013,4488.79197,2,1,2,1,4,1,5,0,4,2,3,2,2,0,1,1,1,1,1,2,3
2013,3808.71571,2,1,1,4,3,1,3,1,4,2,1,1,2,0,1,4,2,1,2,2,1
2013,1483.81133,2,1,2,1,5,1,5,1,4,1,4,1,2,0,1,4,2,0,0,2,1
2013,1483.81133,2,1,2,1,5,1,5,1,4,1,4,1,1,2,1,3,1,0,0,2,1
2013,1483.81133,2,1,2,1,5,1,5,1,4,1,4,1,1,1,1,3,1,0,0,2,1
2013,3674.54708,1,1,1,4,5,2,5,4,4,1,4,1,1,2,1,3,1,0,0,2,3
2013,3674.54708,1,1,1,4,5,2,5,4,4,1,3,2,2,0,1,4,2,0,0,2,1
2013,3402.25379,1,1,1,4,1,1,4,1,4,3,3,1,1,3,1,3,1,0,0,2,3
2013,3402.25379,1,1,1,4,1,1,4,1,4,3,3,1,2,0,1,4,2,1,1,2,3
2013,3402.25379,1,1,1,4,1,1,4,1,4,3,3,1,1,3,1,3,1,0,0,2,3
2013,3167.31705,1,1,2,1,7,3,88,4,4,1,3,2,1,4,1,3,1,1,1,2,1
2013,3070.16841,2,1,2,1,7,5,5,2,4,2,4,2,2,0,1,4,2,0,0,2,1
2013,2731.64681,1,1,2,1,8,2,88,3,4,1,5,1,2,0,2,5,3,0,0,2,3
2013,3007.51191,2,3,2,3,7,1,3,3,4,1,1,1,2,0,1,4,2,0,0,1,1
2013,3007.51191,2,3,2,3,7,1,3,3,4,1,1,1,2,0,1,4,2,0,0,2,1
2013,3472.66382,1,1,1,4,7,2,4,2,4,2,4,2,3,5,1,4,2,0,0,2,3
2013,1747.29301,1,1,1,4,6,2,5,2,4,1,3,1,1,2,1,3,1,0,0,2,3
2013,3414.34603,1,1,1,4,5,2,3,1,4,3,4,1,1,1,1,3,1,0,0,,3
2013,3318.33478,1,1,2,1,7,4,5,1,4,2,4,1,1,1,1,3,1,0,0,2,1
2013,4620.32566,1,1,2,1,2,1,5,1,4,2,2,2,2,0,1,4,2,0,0,2,1
2013,5776.039,1,2,2,2,2,1,1,2,1,1,3,1,1,2,1,3,1,1,2,2,4
2013,4015.51669,1,1,2,1,5,1,88,3,4,1,4,1,1,1,1,3,1,1,2,2,2
